c=5 inst=0: INFEASIBLE (n_conflict_verts=201, remaining_conflicts_before=109, time_limit=30.0s)
c=5 inst=1: INFEASIBLE (n_conflict_verts=187, remaining_conflicts_before=97, time_limit=30.0s)
c=5 inst=2: INFEASIBLE (n_conflict_verts=187, remaining_conflicts_before=101, time_limit=30.0s)
c=5 inst=3: INFEASIBLE (n_conflict_verts=190, remaining_conflicts_before=106, time_limit=30.0s)
c=5 inst=4: INFEASIBLE (n_conflict_verts=182, remaining_conflicts_before=99, time_limit=30.0s)
c=5 inst=5: INFEASIBLE (n_conflict_verts=213, remaining_conflicts_before=115, time_limit=30.0s)
c=5 inst=6: INFEASIBLE (n_conflict_verts=201, remaining_conflicts_before=110, time_limit=30.0s)
c=5 inst=7: INFEASIBLE (n_conflict_verts=193, remaining_conflicts_before=102, time_limit=30.0s)
c=5 inst=8: INFEASIBLE (n_conflict_verts=217, remaining_conflicts_before=118, time_limit=30.0s)
c=5 inst=9: INFEASIBLE (n_conflict_verts=192, remaining_conflicts_before=107, time_limit=30.0s)
c=5 inst=10: INFEASIBLE (n_conflict_verts=205, remaining_conflicts_before=114, time_limit=30.0s)
c=5 inst=11: INFEASIBLE (n_conflict_verts=165, remaining_conflicts_before=94, time_limit=30.0s)
c=5 inst=12: INFEASIBLE (n_conflict_verts=165, remaining_conflicts_before=86, time_limit=30.0s)
c=5 inst=13: INFEASIBLE (n_conflict_verts=174, remaining_conflicts_before=91, time_limit=30.0s)
c=5 inst=14: INFEASIBLE (n_conflict_verts=224, remaining_conflicts_before=119, time_limit=30.0s)
c=5 inst=15: INFEASIBLE (n_conflict_verts=205, remaining_conflicts_before=116, time_limit=30.0s)
c=5 inst=16: INFEASIBLE (n_conflict_verts=181, remaining_conflicts_before=100, time_limit=30.0s)
c=5 inst=17: INFEASIBLE (n_conflict_verts=201, remaining_conflicts_before=109, time_limit=30.0s)
c=5 inst=18: INFEASIBLE (n_conflict_verts=178, remaining_conflicts_before=94, time_limit=30.0s)
c=5 inst=19: INFEASIBLE (n_conflict_verts=183, remaining_conflicts_before=99, time_limit=30.0s)

=== c=5: 0/20 legal after exact-fix-conflicts (repair+CP-SAT); avg free vars where CP-SAT ran = 192.2 ===

c=6 inst=0: INFEASIBLE (n_conflict_verts=267, remaining_conflicts_before=147, time_limit=30.0s)
c=6 inst=1: INFEASIBLE (n_conflict_verts=265, remaining_conflicts_before=156, time_limit=30.0s)
c=6 inst=2: INFEASIBLE (n_conflict_verts=158, remaining_conflicts_before=86, time_limit=30.0s)
c=6 inst=3: INFEASIBLE (n_conflict_verts=263, remaining_conflicts_before=153, time_limit=30.0s)
c=6 inst=4: INFEASIBLE (n_conflict_verts=188, remaining_conflicts_before=104, time_limit=30.0s)
c=6 inst=5: INFEASIBLE (n_conflict_verts=243, remaining_conflicts_before=136, time_limit=30.0s)
c=6 inst=6: INFEASIBLE (n_conflict_verts=257, remaining_conflicts_before=150, time_limit=30.0s)
c=6 inst=7: INFEASIBLE (n_conflict_verts=242, remaining_conflicts_before=135, time_limit=30.0s)
c=6 inst=8: INFEASIBLE (n_conflict_verts=266, remaining_conflicts_before=151, time_limit=30.0s)
c=6 inst=9: INFEASIBLE (n_conflict_verts=286, remaining_conflicts_before=165, time_limit=30.0s)
c=6 inst=10: INFEASIBLE (n_conflict_verts=262, remaining_conflicts_before=149, time_limit=30.0s)
c=6 inst=11: INFEASIBLE (n_conflict_verts=275, remaining_conflicts_before=160, time_limit=30.0s)
c=6 inst=12: INFEASIBLE (n_conflict_verts=263, remaining_conflicts_before=146, time_limit=30.0s)
c=6 inst=13: INFEASIBLE (n_conflict_verts=287, remaining_conflicts_before=164, time_limit=30.0s)
c=6 inst=14: INFEASIBLE (n_conflict_verts=227, remaining_conflicts_before=128, time_limit=30.0s)
c=6 inst=15: INFEASIBLE (n_conflict_verts=231, remaining_conflicts_before=127, time_limit=30.0s)
c=6 inst=16: INFEASIBLE (n_conflict_verts=276, remaining_conflicts_before=158, time_limit=30.0s)
c=6 inst=17: INFEASIBLE (n_conflict_verts=268, remaining_conflicts_before=153, time_limit=30.0s)
c=6 inst=18: INFEASIBLE (n_conflict_verts=269, remaining_conflicts_before=153, time_limit=30.0s)
c=6 inst=19: INFEASIBLE (n_conflict_verts=301, remaining_conflicts_before=171, time_limit=30.0s)

=== c=6: 0/20 legal after exact-fix-conflicts (repair+CP-SAT); avg free vars where CP-SAT ran = 254.7 ===

